t,v,
0,23921.22300000004,
0.01,23175.082000000002,
0.02,21254.350999999988,
0.03,18425.700999999986,
0.04,14953.607999999973,
0.05,11107.341,
0.06,7106.247999999996,
0.07,3087.1590000000047,
0.08,-824.91,
0.09,-4555.1620000000075,
0.1,-8043.525000000001,
0.11,-11296.283000000003,
0.12,-14290.899000000005,
0.13,-16957.073999999997,
0.14,-19179.930999999957,
0.15,-20791.66399999999,
0.16,-21578.757000000005,
0.17,-21402.565000000017,
0.18,-20231.004999999983,
0.19,-18112.912999999993,
0.2,-15184.710999999985,
0.21,-11637.312999999995,
0.22,-7701.778999999994,
0.23,-3589.801000000006,
0.24,507.70800000000037,
0.25,4360.358999999996,
0.26,7803.232000000002,
0.27,10769.16300000001,
0.28,13204.050999999983,
0.29,15113.60099999996,
0.3,16543.35199999999,
0.31,17494.300000000032,
0.32,17915.86599999999,
0.33,17750.041,
0.34,16952.607000000025,
0.35000000000000003,15477.179000000002,
0.36,13383.29599999999,
0.37,10757.824999999983,
0.38,7702.853999999987,
0.39,4336.945000000001,
0.4,852.2339999999997,
0.41000000000000003,-2570.909000000001,
0.42,-5735.597999999997,
0.43,-8486.043000000005,
0.44,-10756.781000000014,
0.45,-12490.464999999998,
0.46,-13679.093000000008,
0.47000000000000003,-14320.330999999987,
0.48,-14416.196000000009,
0.49,-14029.35200000001,
0.5,-13198.005,
0.51,-11975.002000000002,
0.52,-10441.86300000001,
0.53,-8610.851999999999,
0.54,-6512.460999999994,
0.55,-4193.616,
0.56,-1726.7449999999994,
0.5700000000000001,780.0790000000014,
0.58,3257.7709999999943,
0.59,5613.377000000004,
0.6,7709.986999999999,
0.61,9419.357999999991,
0.62,10635.263999999997,
0.63,11316.384999999998,
0.64,11463.312,
0.65,11113.679000000006,
0.66,10328.007999999994,
0.67,9203.76999999999,
0.68,7829.734000000001,
0.6900000000000001,6309.562999999997,
0.7000000000000001,4735.847999999995,
0.71,3151.4859999999985,
0.72,1550.7130000000025,
0.73,-52.0739999999998,
0.74,-1652.6559999999993,
0.75,-3211.422999999998,
0.76,-4695.356999999998,
0.77,-6051.271000000001,
0.78,-7161.622000000001,
0.79,-7947.851999999996,
0.8,-8362.245000000014,
0.81,-8365.476000000004,
0.8200000000000001,-7961.838000000012,
0.8300000000000001,-7184.931000000001,
0.84,-6131.799999999999,
0.85,-4879.3079999999945,
0.86,-3542.185999999993,
0.87,-2227.358999999999,
0.88,-989.2580000000008,
0.89,135.12699999999953,
0.9,1156.6819999999993,
0.91,2077.8030000000003,
0.92,2931.831999999999,
0.93,3732.7499999999964,
0.9400000000000001,4453.684000000003,
0.9500000000000001,5048.109000000005,
0.96,5453.446000000012,
0.97,5621.265999999998,
0.98,5504.669,
0.99,5105.8839999999955,
1,4458.426999999999,
1.01,3613.133000000003,
1.02,2652.2810000000027,
1.03,1659.997000000002,
1.04,702.4350000000011,
1.05,-181.03099999999955,
1.06,-962.7359999999996,
1.07,-1625.4590000000007,
1.08,-2151.715999999997,
1.09,-2570.9430000000016,
1.1,-2929.4190000000067,
1.11,-3244.6840000000034,
1.12,-3480.5149999999926,
1.1300000000000001,-3563.1330000000007,
1.1400000000000001,-3488.358000000004,
1.1500000000000001,-3262.1600000000008,
1.16,-2868.989999999999,
1.17,-2342.317000000007,
1.18,-1734.4629999999997,
1.19,-1071.4410000000007,
1.2,-420.4860000000004,
1.21,179.19399999999942,
1.22,704.3569999999996,
1.23,1139.8039999999992,
1.24,1482.7609999999984,
1.25,1745.9620000000007,
1.26,1944.0349999999992,
1.27,2075.9340000000025,
1.28,2127.7389999999987,
1.29,2075.3439999999987,
1.3,1900.426000000002,
1.31,1664.7989999999995,
1.32,1360.6879999999999,
1.33,1009.6679999999973,
1.34,615.8409999999986,
1.35,204.48100000000034,
1.36,-195.5579999999999,
1.37,-522.7810000000006,
1.3800000000000001,-763.692999999999,
1.3900000000000001,-897.8250000000003,
1.4000000000000001,-953.4099999999997,
1.41,-965.4519999999995,
1.42,-967.2599999999985,
1.43,-957.5289999999993,
1.44,-942.8259999999993,
1.45,-884.7740000000001,
1.46,-802.9009999999987,
1.47,-654.896,
1.48,-435.5529999999989,
1.49,-175.54000000000016,
1.5,115.20000000000044,
1.51,407.14799999999946,
1.52,656.893999999999,
1.53,818.8710000000004,
1.54,868.908,
1.55,794.3269999999994,
1.56,635.0780000000012,
1.57,420.01199999999955,
1.58,186.8900000000001,
1.59,-36.27400000000009,
1.6,-218.18200000000047,
1.61,-322.2379999999996,
1.62,-369.398999999999,
1.6300000000000001,-396.15299999999974,
1.6400000000000001,-419.85099999999943,
1.6500000000000001,-438.3790000000001,
1.6600000000000001,-475.0769999999994,
1.67,-540.6140000000004,
1.68,-590.1079999999997,
1.69,-607.9469999999999,
1.7,-575.285,
1.71,-470.3760000000007,
1.72,-286.06899999999945,
1.73,-63.38200000000168,
1.74,190.59999999999985,
1.75,464.8729999999984,
1.76,724.1330000000013,
1.77,923.449000000002,
1.78,1050.6760000000004,
1.79,1106.4359999999997,
1.8,1100.7199999999996,
1.81,1055.316,
1.82,981.598000000001,
1.83,865.3640000000004,
1.84,689.9499999999994,
1.85,480.2889999999994,
1.86,233.01600000000082,
1.87,-31.30999999999901,
1.8800000000000001,-278.84400000000073,
1.8900000000000001,-498.2759999999981,
1.9000000000000001,-724.4589999999993,
1.9100000000000001,-956.5449999999985,
1.92,-1141.7799999999986,
1.93,-1269.4289999999971,
1.94,-1345.1050000000012,
1.95,-1374.6539999999982,
1.96,-1370.0479999999984,
1.97,-1325.5979999999997,
1.98,-1229.5099999999989,
1.99,-1055.9370000000006,
